año,trimestre,provincia,accesos_telefonía_fija_por_cada_100_hab,accesos_telefonía_fija_por_cada_100_hogares
2023,2,Jujuy,3,15
2023,2,La Pampa,18,57
2023,2,La Rioja,5,22
2023,2,Mendoza,8,30
2023,2,Misiones,5,21
2023,2,Neuquén,11,37
2023,2,Río Negro,8,28
2023,2,Salta,5,22
2023,2,San Juan,8,32
2023,2,San Luis,5,18
2023,2,Santa Cruz,6,21
2023,2,Santa Fe,13,43
2023,2,Santiago del Estero,6,25
2023,2,Tierra del Fuego,11,38
2023,2,Tucumán,8,36
2023,3,Buenos Aires,18,54
2023,3,Capital Federal,54,131
2023,3,Catamarca,5,19
2023,3,Chaco,4,17
2023,3,Chubut,9,31
2023,3,Córdoba,12,40
2023,3,Corrientes,7,27
2023,3,Entre Ríos,10,35
2023,3,Formosa,5,22
2023,3,Jujuy,3,14
2023,3,La Pampa,18,56
2023,3,La Rioja,5,22
2023,3,Mendoza,8,30
2023,3,Misiones,5,20
2023,3,Neuquén,11,37
2023,3,Río Negro,8,28
2023,3,Salta,5,22
2023,3,San Juan,8,31
2023,3,San Luis,5,18
2023,3,Santa Cruz,6,21
2023,3,Santa Fe,13,41
2023,3,Santiago del Estero,6,24
2023,3,Tierra del Fuego,11,38
2023,3,Tucumán,8,35
2023,4,Buenos Aires,17,53
2023,4,Capital Federal,53,129
2023,4,Catamarca,4,19
2023,4,Chaco,4,16
2023,4,Chubut,8,28
2023,4,Córdoba,12,41
2023,4,Corrientes,7,26
2023,4,Entre Ríos,10,34
2023,4,Formosa,5,23
2023,4,Jujuy,3,14
2023,4,La Pampa,18,57
2023,4,La Rioja,5,21
2023,4,Mendoza,9,33
2023,4,Misiones,5,19
2023,4,Neuquén,10,34
2023,4,Río Negro,9,30
2023,4,Salta,5,21
2023,4,San Juan,6,26
2023,4,San Luis,5,19
2023,4,Santa Cruz,6,20
2023,4,Santa Fe,12,40
2023,4,Santiago del Estero,6,24
2023,4,Tierra del Fuego,8,28
2023,4,Tucumán,8,34
2024,1,Buenos Aires,16,46
2024,1,Capital Federal,46,112
2024,1,Catamarca,6,24
2024,1,Chaco,6,23
2024,1,Chubut,8,28
2024,1,Córdoba,14,46
2024,1,Corrientes,6,26
2024,1,Entre Ríos,11,39
2024,1,Formosa,4,19
2024,1,Jujuy,5,21
2024,1,La Pampa,17,54
2024,1,La Rioja,5,22
2024,1,Mendoza,8,29
2024,1,Misiones,6,23
2024,1,Neuquén,8,29
2024,1,Río Negro,8,28
2024,1,Salta,6,27
2024,1,San Juan,7,28
2024,1,San Luis,5,19
2024,1,Santa Cruz,5,18
2024,1,Santa Fe,16,52
2024,1,Santiago del Estero,6,24
2024,1,Tierra del Fuego,8,29
2024,1,Tucumán,9,37
