año,trimestre,provincia,accesos_telefonía_fija_por_cada_100_hab,accesos_telefonía_fija_por_cada_100_hogares
2016,1,Misiones,9,35
2016,1,Neuquén,16,54
2016,1,Río Negro,20,67
2016,1,Salta,10,42
2016,1,San Juan,15,60
2016,1,San Luis,11,39
2016,1,Santa Cruz,14,48
2016,1,Santa Fe,21,69
2016,1,Santiago del Estero,6,27
2016,1,Tierra del Fuego,25,84
2016,1,Tucumán,13,53
2016,2,Buenos Aires,29,91
2016,2,Capital Federal,51,121
2016,2,Catamarca,9,37
2016,2,Chaco,8,33
2016,2,Chubut,20,65
2016,2,Córdoba,19,63
2016,2,Corrientes,9,36
2016,2,Entre Ríos,16,56
2016,2,Formosa,6,27
2016,2,Jujuy,7,29
2016,2,La Pampa,23,71
2016,2,La Rioja,10,38
2016,2,Mendoza,19,69
2016,2,Misiones,9,33
2016,2,Neuquén,15,52
2016,2,Río Negro,19,64
2016,2,Salta,10,42
2016,2,San Juan,14,56
2016,2,San Luis,11,38
2016,2,Santa Cruz,13,45
2016,2,Santa Fe,21,68
2016,2,Santiago del Estero,7,28
2016,2,Tierra del Fuego,24,82
2016,2,Tucumán,13,52
2016,3,Buenos Aires,28,88
2016,3,Capital Federal,52,123
2016,3,Catamarca,9,38
2016,3,Chaco,8,33
2016,3,Chubut,20,66
2016,3,Córdoba,19,63
2016,3,Corrientes,9,35
2016,3,Entre Ríos,16,56
2016,3,Formosa,7,27
2016,3,Jujuy,7,29
2016,3,La Pampa,23,72
2016,3,La Rioja,10,38
2016,3,Mendoza,19,70
2016,3,Misiones,9,33
2016,3,Neuquén,16,54
2016,3,Río Negro,20,65
2016,3,Salta,10,42
2016,3,San Juan,15,58
2016,3,San Luis,11,38
2016,3,Santa Cruz,13,45
2016,3,Santa Fe,21,68
2016,3,Santiago del Estero,6,28
2016,3,Tierra del Fuego,24,83
2016,3,Tucumán,13,52
2016,4,Buenos Aires,28,90
2016,4,Capital Federal,52,125
2016,4,Catamarca,9,37
2016,4,Chaco,8,32
2016,4,Chubut,21,68
2016,4,Córdoba,19,63
2016,4,Corrientes,9,35
2016,4,Entre Ríos,16,55
2016,4,Formosa,7,27
2016,4,Jujuy,7,29
2016,4,La Pampa,23,72
2016,4,La Rioja,10,37
2016,4,Mendoza,19,71
2016,4,Misiones,9,34
2016,4,Neuquén,16,54
2016,4,Río Negro,20,66
2016,4,Salta,10,42
2016,4,San Juan,15,59
2016,4,San Luis,11,38
2016,4,Santa Cruz,14,47
2016,4,Santa Fe,21,68
2016,4,Santiago del Estero,6,27
2016,4,Tierra del Fuego,24,83
2016,4,Tucumán,13,52
2017,1,Buenos Aires,29,91
2017,1,Capital Federal,52,123
2017,1,Catamarca,9,38
2017,1,Chaco,8,33
2017,1,Chubut,21,69
2017,1,Córdoba,19,63
2017,1,Corrientes,9,35
2017,1,Entre Ríos,16,56
2017,1,Formosa,7,27
2017,1,Jujuy,7,30
2017,1,La Pampa,24,73
2017,1,La Rioja,10,38
2017,1,Mendoza,20,71
2017,1,Misiones,9,35
2017,1,Neuquén,16,54
2017,1,Río Negro,20,67
2017,1,Salta,10,42
2017,1,San Juan,15,60
2017,1,San Luis,11,39
2017,1,Santa Cruz,14,48
2017,1,Santa Fe,21,69
2017,1,Santiago del Estero,6,27
2017,1,Tierra del Fuego,25,84
2017,1,Tucumán,13,53
2017,2,Buenos Aires,29,91
2017,2,Capital Federal,51,121
2017,2,Catamarca,9,37
2017,2,Chaco,8,33
2017,2,Chubut,20,65
2017,2,Córdoba,19,63
2017,2,Corrientes,9,36
2017,2,Entre Ríos,16,56
2017,2,Formosa,6,27
2017,2,Jujuy,7,29
2017,2,La Pampa,23,71
2017,2,La Rioja,10,38
2017,2,Mendoza,19,69
2017,2,Misiones,9,33
2017,2,Neuquén,15,52
2017,2,Río Negro,19,64
2017,2,Salta,10,42
2017,2,San Juan,14,56
2017,2,San Luis,11,38
2017,2,Santa Cruz,13,45
2017,2,Santa Fe,21,68
2017,2,Santiago del Estero,7,28
2017,2,Tierra del Fuego,24,82
2017,2,Tucumán,13,52
2017,3,Buenos Aires,28,88
2017,3,Capital Federal,52,123
2017,3,Catamarca,9,38
2017,3,Chaco,8,33
2017,3,Chubut,20,66
2017,3,Córdoba,19,63
2017,3,Corrientes,9,35
2017,3,Entre Ríos,16,56
2017,3,Formosa,7,27
2017,3,Jujuy,7,29
2017,3,La Pampa,23,72
2017,3,La Rioja,10,38
2017,3,Mendoza,19,70
2017,3,Misiones,9,33
2017,3,Neuquén,16,54
2017,3,Río Negro,20,65
2017,3,Salta,10,42
2017,3,San Juan,15,58
2017,3,San Luis,11,38
2017,3,Santa Cruz,13,45
2017,3,Santa Fe,21,68
2017,3,Santiago del Estero,6,28
2017,3,Tierra del Fuego,24,83
2017,3,Tucumán,13,52
2017,4,Buenos Aires,28,90
2017,4,Capital Federal,52,125
2017,4,Catamarca,9,37
2017,4,Chaco,8,32
2017,4,Chubut,21,68
2017,4,Córdoba,19,63
2017,4,Corrientes,9,35
2017,4,Entre Ríos,16,55
2017,4,Formosa,7,27
2017,4,Jujuy,7,29
2017,4,La Pampa,23,72
2017,4,La Rioja,10,37
2017,4,Mendoza,19,71
2017,4,Misiones,9,34
2017,4,Neuquén,16,54
2017,4,Río Negro,20,66
2017,4,Salta,10,42
2017,4,San Juan,15,59
2017,4,San Luis,11,38
2017,4,Santa Cruz,14,47
2017,4,Santa Fe,21,68
2017,4,Santiago del Estero,6,27
2017,4,Tierra del Fuego,24,83
2017,4,Tucumán,13,52
2018,1,Buenos Aires,25,79
2018,1,Capital Federal,56,134
2018,1,Catamarca,9,37
2018,1,Chaco,8,31
2018,1,Chubut,19,62
2018,1,Córdoba,18,61
2018,1,Corrientes,9,34
2018,1,Entre Ríos,15,53
2018,1,Formosa,6,26
2018,1,Jujuy,7,28
2018,1,La Pampa,21,65
2018,1,La Rioja,9,35
2018,1,Mendoza,18,66
2018,1,Misiones,8,30
2018,1,Neuquén,15,50
2018,1,Río Negro,19,62
2018,1,Salta,9,40
2018,1,San Juan,15,59
2018,1,San Luis,8,31
2018,1,Santa Cruz,12,43
2018,1,Santa Fe,19,63
2018,1,Santiago del Estero,5,24
2018,1,Tierra del Fuego,20,68
2018,1,Tucumán,13,52
2018,2,Buenos Aires,26,80
2018,2,Capital Federal,56,135
2018,2,Catamarca,9,36
2018,2,Chaco,8,31
2018,2,Chubut,19,63
2018,2,Córdoba,18,60
2018,2,Corrientes,8,34
2018,2,Entre Ríos,15,52
2018,2,Formosa,6,26
2018,2,Jujuy,7,27
2018,2,La Pampa,21,65
2018,2,La Rioja,9,34
2018,2,Mendoza,18,66
2018,2,Misiones,8,32
2018,2,Neuquén,15,50
2018,2,Río Negro,19,62
2018,2,Salta,9,39
2018,2,San Juan,15,59
2018,2,San Luis,8,31
2018,2,Santa Cruz,12,42
2018,2,Santa Fe,19,62
2018,2,Santiago del Estero,5,23
2018,2,Tierra del Fuego,20,68
2018,2,Tucumán,12,52
2018,3,Buenos Aires,26,80
2018,3,Capital Federal,57,138
2018,3,Catamarca,9,36
2018,3,Chaco,7,28
2018,3,Chubut,19,63
2018,3,Córdoba,18,59
2018,3,Corrientes,8,32
2018,3,Entre Ríos,14,49
2018,3,Formosa,6,25
2018,3,Jujuy,7,27
2018,3,La Pampa,21,65
2018,3,La Rioja,8,33
2018,3,Mendoza,18,66
2018,3,Misiones,8,30
2018,3,Neuquén,14,50
2018,3,Río Negro,19,62
2018,3,Salta,9,38
2018,3,San Juan,15,59
2018,3,San Luis,8,31
2018,3,Santa Cruz,12,42
2018,3,Santa Fe,19,61
2018,3,Santiago del Estero,5,22
