año,mes,personal,claro,nextel,movistar,periodo
2022,6,-3012,20311,0,-17348,2022-06-01
2022,7,2263,7363,0,-9653,2022-07-01
2022,8,996,19548,0,-20585,2022-08-01
2022,9,-2209,18050,0,-15982,2022-09-01
2022,10,-1605,987,0,469,2022-10-01
2022,11,788,7927,0,-8948,2022-11-01
2022,12,-2222,7850,0,-5845,2022-12-01
2023,1,2177,-2138,0,-290,2023-01-01
2023,2,-3935,4447,0,-757,2023-02-01
2023,3,382,3067,0,-3746,2023-03-01
2023,4,2392,-1225,0,-1498,2023-04-01
2023,5,5643,-5225,0,-937,2023-05-01
2023,6,-246,2607,0,-3040,2023-06-01
2023,7,-4025,5828,0,-2361,2023-07-01
2023,8,-3801,2077,0,674,2023-08-01
2023,9,-2250,1467,0,-17,2023-09-01
2023,10,1809,1116,0,-3534,2023-10-01
2023,11,-1784,3826,0,-2641,2023-11-01
2023,12,1774,1685,0,-4065,2023-12-01
2024,1,-814,3510,0,-3395,2024-01-01
2024,2,-506,2796,0,-3052,2024-02-01
2024,3,-369,3725,0,-4451,2024-03-01
