año,trimestre,provincia,accesos_tv_por_suscripción_(vrf)
2022,2,Tucumán,132544
2022,1,Buenos Aires,2975672
2022,1,Capital Federal,745263
2022,1,Catamarca,47123
2022,1,Chaco,119743
2022,1,Chubut,77728
2022,1,Córdoba,1124246
2022,1,Corrientes,131173
2022,1,Entre Ríos,229140
2022,1,Formosa,67264
2022,1,Jujuy,109925
2022,1,La Pampa,78656
2022,1,La Rioja,23751
2022,1,Mendoza,120661
2022,1,Misiones,139738
2022,1,Neuquén,76008
2022,1,Río Negro,107854
2022,1,Salta,215980
2022,1,San Juan,34474
2022,1,San Luis,46491
2022,1,Santa Cruz,41803
2022,1,Santa Fe,744319
2022,1,Santiago Del Estero,145552
2022,1,Tierra Del Fuego,42756
2022,1,Tucumán,119507
2021,4,Buenos Aires,3002329
2021,4,Capital Federal,746094
2021,4,Catamarca,44924
2021,4,Chaco,117381
2021,4,Chubut,76640
2021,4,Córdoba,1118579
2021,4,Corrientes,116488
2021,4,Entre Ríos,229305
2021,4,Formosa,67396
2021,4,Jujuy,108333
2021,4,La Pampa,82376
2021,4,La Rioja,25613
2021,4,Mendoza,115618
2021,4,Misiones,139606
2021,4,Neuquén,76685
2021,4,Río Negro,111231
2021,4,Salta,206327
2021,4,San Juan,33497
2021,4,San Luis,46426
2021,4,Santa Cruz,41732
2021,4,Santa Fe,746848
2021,4,Santiago Del Estero,190841
2021,4,Tierra Del Fuego,42441
2021,4,Tucumán,110048
2021,3,Buenos Aires,2976570
2021,3,Capital Federal,745558
2021,3,Catamarca,43542
2021,3,Chaco,115548
2021,3,Chubut,74721
2021,3,Córdoba,1105454
2021,3,Corrientes,115700
2021,3,Entre Ríos,243917
2021,3,Formosa,66173
2021,3,Jujuy,107881
2021,3,La Pampa,81056
2021,3,La Rioja,20724
2021,3,Mendoza,112397
2021,3,Misiones,140488
2021,3,Neuquén,77903
2021,3,Río Negro,112180
2021,3,Salta,243234
2021,3,San Juan,34008
2021,3,San Luis,46357
2021,3,Santa Cruz,42248
2021,3,Santa Fe,824741
2021,3,Santiago Del Estero,190674
2021,3,Tierra Del Fuego,42452
2021,3,Tucumán,113366
2021,2,Buenos Aires,2933650
2021,2,Capital Federal,741498
2021,2,Catamarca,42816
2021,2,Chaco,117259
2021,2,Chubut,73909
2021,2,Córdoba,1072980
2021,2,Corrientes,112659
2021,2,Entre Ríos,222673
2021,2,Formosa,60625
2021,2,Jujuy,106450
2021,2,La Pampa,79718
2021,2,La Rioja,20282
2021,2,Mendoza,108664
2021,2,Misiones,140283
2021,2,Neuquén,78122
2021,2,Río Negro,111055
2021,2,Salta,195472
2021,2,San Juan,33726
2021,2,San Luis,45688
2021,2,Santa Cruz,42352
2021,2,Santa Fe,674967
2021,2,Santiago Del Estero,161926
2021,2,Tierra Del Fuego,42158
2021,2,Tucumán,114139
2021,1,Buenos Aires,2924732
2021,1,Capital Federal,740825
2021,1,Catamarca,42761
2021,1,Chaco,118321
2021,1,Chubut,73129
2021,1,Córdoba,1085427
2021,1,Corrientes,113093
2021,1,Entre Ríos,221612
2021,1,Formosa,60478
2021,1,Jujuy,106851
2021,1,La Pampa,80094
2021,1,La Rioja,19675
2021,1,Mendoza,106177
2021,1,Misiones,138117
2021,1,Neuquén,78320
2021,1,Río Negro,110693
2021,1,Salta,203905
2021,1,San Juan,33922
2021,1,San Luis,45583
2021,1,Santa Cruz,44241
2021,1,Santa Fe,686902
2021,1,Santiago Del Estero,159550
2021,1,Tierra Del Fuego,42034
2021,1,Tucumán,110506
2020,4,Buenos Aires,2973620
2020,4,Capital Federal,757638
2020,4,Catamarca,42098
2020,4,Chaco,118021
2020,4,Chubut,73236
2020,4,Córdoba,1073026
2020,4,Corrientes,111852
2020,4,Entre Ríos,216322
2020,4,Formosa,59584
2020,4,Jujuy,109703
2020,4,La Pampa,79521
2020,4,La Rioja,23695
2020,4,Mendoza,106491
2020,4,Misiones,138446
2020,4,Neuquén,79485
2020,4,Río Negro,111495
2020,4,Salta,203833
2020,4,San Juan,33755
2020,4,San Luis,45791
2020,4,Santa Cruz,44340
2020,4,Santa Fe,684675
2020,4,Santiago Del Estero,92329
2020,4,Tierra Del Fuego,42442
2020,4,Tucumán,111110
2020,3,Buenos Aires,2952288
2020,3,Capital Federal,741443
2020,3,Catamarca,40786
2020,3,Chaco,119932
2020,3,Chubut,65855
2020,3,Córdoba,1093908
2020,3,Corrientes,114038
2020,3,Entre Ríos,235140
2020,3,Formosa,60169
2020,3,Jujuy,109266
2020,3,La Pampa,79243
2020,3,La Rioja,19678
2020,3,Mendoza,104996
2020,3,Misiones,137953
2020,3,Neuquén,80161
2020,3,Río Negro,112475
2020,3,Salta,203833
2020,3,San Juan,33664
2020,3,San Luis,45793
2020,3,Santa Cruz,44577
2020,3,Santa Fe,690129
2020,3,Santiago Del Estero,91593
2020,3,Tierra Del Fuego,42403
2020,3,Tucumán,110110
2020,2,Buenos Aires,2915498
2020,2,Capital Federal,738178
2020,2,Catamarca,40214
2020,2,Chaco,117601
2020,2,Chubut,64113
2020,2,Córdoba,1098162
2020,2,Corrientes,111516
2020,2,Entre Ríos,218562
2020,2,Formosa,59290
2020,2,Jujuy,97761
2020,2,La Pampa,80878
2020,2,La Rioja,19297
2020,2,Mendoza,102654
2020,2,Misiones,142174
2020,2,Neuquén,79434
2020,2,Río Negro,111595
2020,2,Salta,202609
2020,2,San Juan,33129
2020,2,San Luis,45905
2020,2,Santa Cruz,43719
2020,2,Santa Fe,672663
2020,2,Santiago Del Estero,90102
2020,2,Tierra Del Fuego,41920
2020,2,Tucumán,97161
2020,1,Buenos Aires,2955174
2020,1,Capital Federal,741539
2020,1,Catamarca,39338
2020,1,Chaco,114564
2020,1,Chubut,67422
2020,1,Córdoba,1062830
2020,1,Corrientes,110100
2020,1,Entre Ríos,220527
2020,1,Formosa,59239
2020,1,Jujuy,97650
2020,1,La Pampa,79897
2020,1,La Rioja,18853
2020,1,Mendoza,103132
2020,1,Misiones,143352
2020,1,Neuquén,78339
2020,1,Río Negro,109833
2020,1,Salta,187051
2020,1,San Juan,30303
2020,1,San Luis,47659
2020,1,Santa Cruz,43321
2020,1,Santa Fe,670943
2020,1,Santiago Del Estero,88946
2020,1,Tierra Del Fuego,41493
2020,1,Tucumán,110406
2019,4,Buenos Aires,2824205
2019,4,Capital Federal,896441
2019,4,Catamarca,41031
2019,4,Chaco,114313
2019,4,Chubut,69894
2019,4,Córdoba,1113585
2019,4,Corrientes,109763
2019,4,Entre Ríos,220415
2019,4,Formosa,59153
2019,4,Jujuy,95103
2019,4,La Pampa,81047
2019,4,La Rioja,18979
2019,4,Mendoza,102375
2019,4,Misiones,144435
2019,4,Neuquén,76801
2019,4,Río Negro,110594
2019,4,Salta,189127
2019,4,San Juan,29520
2019,4,San Luis,48422
2019,4,Santa Cruz,47954
