año,trimestre,provincia,accesos_tv_por_suscripción_(vrf)
2014,1,Buenos Aires,2363240
2014,1,Capital Federal,691440
2014,1,Catamarca,18239
2014,1,Chaco,88112
2014,1,Chubut,68671
2014,1,Córdoba,511023
2014,1,Corrientes,61056
2014,1,Entre Ríos,109137
2014,1,Formosa,30013
2014,1,Jujuy,64535
2014,1,La Pampa,67773
2014,1,La Rioja,25108
2014,1,Mendoza,106933
2014,1,Misiones,99220
2014,1,Neuquén,105837
2014,1,Río Negro,40129
2014,1,Salta,123120
2014,1,San Juan,42011
2014,1,San Luis,16869
2014,1,Santa Cruz,21133
2014,1,Santa Fe,546523
2014,1,Santiago del Estero,92972
2014,1,Tierra del Fuego,29886
2014,1,Tucumán,111552
