provincia,partido,localidad,población,adsl,cablemódem,dial_up,fibra_óptica,satelital,wireless,telefonía_fija,3g,4g,link,latitud,longitud
CORDOBA,General San Martín,Arroyo Algodón,677,SI,--,--,SI,--,SI,--,SI,SI,14042010,-32,-63
CORDOBA,Ischilín,San Pedro de Toyos,56,--,--,--,--,--,--,--,--,--,14049110,-30,-64
CORDOBA,Ischilín,Villa Gutiérrez,236,--,--,--,--,--,--,--,--,--,14049120,-30,-64
CORDOBA,Marcos Juárez,Alejo Ledesma,3299,--,--,--,SI,SI,SI,SI,SI,SI,14063010,-33,-62
CORDOBA,Marcos Juárez,Arias,7075,SI,--,--,--,--,--,SI,SI,SI,14063020,-33,-62
CORDOBA,Marcos Juárez,Camilo Aldao,5197,SI,--,--,SI,SI,--,SI,SI,SI,14063030,-33,-62
CORDOBA,Marcos Juárez,Capitán General Bernardo O'Higgins,483,SI,--,--,--,--,SI,SI,--,--,14063040,-33,-62
CORDOBA,Marcos Juárez,Cavanagh,1202,--,--,--,--,--,SI,SI,--,SI,14063050,-33,-62
CORDOBA,Marcos Juárez,Colonia Barge,153,--,--,--,--,--,--,--,--,--,14063060,-33,-62
CORDOBA,Marcos Juárez,Colonia Italiana,738,--,SI,--,--,--,SI,--,SI,--,14063070,-33,-62
CORDOBA,Marcos Juárez,Colonia Veinticinco,17,--,--,--,--,--,--,--,--,--,14063080,-32,-61
CORDOBA,Marcos Juárez,Corral de Bustos,10407,SI,SI,--,SI,--,SI,SI,SI,SI,14063090,-33,-62
CORDOBA,Marcos Juárez,Cruz Alta,7200,SI,--,--,--,SI,SI,SI,SI,SI,14063100,-33,-61
CORDOBA,Marcos Juárez,General Baldissera,2387,SI,--,--,--,SI,--,SI,SI,SI,14063110,-33,-62
CORDOBA,Marcos Juárez,General Roca,2777,SI,--,--,SI,SI,--,SI,SI,SI,14063120,-32,-61
SAN LUIS,Libertador Grl. San Martín,La Vertiente,98,--,--,--,--,SI,SI,--,--,--,74063010,-32,-65
BUENOS AIRES,Brandsen,Oliden,183,--,--,--,--,--,--,SI,--,--,6119080,-35,-57
BUENOS AIRES,Brandsen,Posada de los Lagos,15,--,--,--,--,--,--,--,SI,SI,6119085,-35,-58
BUENOS AIRES,Brandsen,Samborombón,6,--,--,--,--,--,--,--,--,--,6119090,-35,-58
