año,trimestre,provincia,otros,"0,256_mbps","0,5_mbps","0,512_mbps","0,75_mbps",1_mbps,2_mbps,3_mbps,"3,5_mbps",4_mbps,5_mbps,6_mbps,7_mbps,8_mbps,9_mbps,10_mbps,11_mbps,12_mbps,15_mbps,16_mbps,18_mbps,20_mbps,24_mbps,25_mbps,30_mbps,35_mbps,40_mbps,50_mbps,60_mbps,100_mbps,120_mbps,150_mbps,200_mbps,300_mbps,500_mbps,1000_mbps
2023,4,Capital Federal,0,31,451,34,1307,3237,257,2764,11975,993,3561,6859,7,16864,3,31209,5,92,29275,5,0,4548,0,433,58451,24,238,60820,17314,365367,27,147083,3249,542567,95209,67156
2023,4,Catamarca,77,0,34,37,0,209,115,1718,0,1,332,899,0,0,0,3734,0,31,1935,0,0,2457,914,47,866,0,0,35008,0,16953,0,0,42,8128,423,8
2023,4,Chaco,4040,0,234,2,0,477,780,3087,167,385,5146,5246,442,700,1,9218,0,137,3556,0,0,2554,0,3435,2305,19,0,32479,0,44796,659,0,1115,23740,1818,148
2023,4,Chubut,16589,8,69,34,836,252,1965,5780,11441,6299,4369,14422,76,13374,21,17931,1,5603,13627,141,0,3415,8047,5560,7578,0,29,31134,2,1188,0,0,1,116,2,0
2023,4,Córdoba,17061,2,87,10,83,8321,7703,27764,4897,11645,7361,57516,2669,10080,714,77701,88,9064,20671,134,58,20995,2,21673,5073,8,277,231377,4951,300200,75,27,488,201263,21206,2843
2023,4,Corrientes,6484,0,10,57,118,2771,1721,5543,480,1718,2751,7736,0,5034,0,12950,0,8,1712,3548,0,2840,0,1405,3696,0,96,30671,0,36195,1060,0,2097,26147,2036,235
2023,4,Entre Ríos,14382,1,20,86,113,4295,4821,7472,390,2414,6056,15997,1138,2399,0,50840,0,1486,5452,1,0,9734,0,863,6391,0,0,37313,0,66726,780,1,1755,52916,3998,650
2023,4,Formosa,350,1,49,35,0,179,1457,10172,0,3296,1717,5214,108,137,0,11318,0,40,1203,0,0,3302,0,8,268,2,32,936,0,10295,0,0,0,11123,661,99
2023,4,Jujuy,1980,0,26,32,0,1343,1637,3070,0,2889,5128,2635,10,946,0,10768,0,23495,377,0,4,4865,0,8,264,0,0,44881,0,8682,0,0,1,4228,325,16
2023,4,La Pampa,1610,3,6,62,143,1187,2917,6406,2327,2454,2198,30229,516,1562,0,15200,73,1,4485,0,0,9997,0,1543,3971,1,2497,22686,1821,5437,1159,0,2,458,122,5
2023,4,La Rioja,0,0,9,9,0,435,8,434,0,2,180,859,0,85,0,1701,22,15442,320,0,0,9054,209,0,4502,0,0,36327,0,11266,0,0,137,6173,539,8
2023,4,Mendoza,5499,2,86,16,737,2208,3097,4180,10699,1659,1099,13894,13,10780,1251,8858,0,4467,19102,0,0,6482,626,155,53170,0,4,110773,1,28007,1,0,232,9250,547,25
2023,4,Misiones,8925,0,47,4,0,3248,11038,4139,4,1742,5157,10207,2603,45,4,18870,4,120,2289,1,1,8921,0,8,3861,0,71,35071,19,47697,494,0,5010,25582,1576,207
2023,4,Neuquén,20176,1,62,73,458,540,1626,5311,10737,1438,7822,8497,246,6119,0,7120,0,3775,5148,0,0,1511,0,259,14326,0,66,8291,7,30629,0,4,0,26844,3083,451
2023,4,Río Negro,15586,1,36,75,501,538,777,5465,7796,727,3042,9416,0,11012,1,5595,18,1640,9727,0,3,6955,0,13679,16243,2,33,6117,259,22368,233,33,26,17711,1119,200
2023,4,Salta,6685,0,41,73,1,1153,1538,5943,8,8365,4650,7565,330,6869,0,58739,0,88,1565,0,4,2077,11,2,68,0,74,29002,0,37844,357,0,1,28606,1846,309
2023,4,San Juan,22649,0,21,3,723,1298,606,4403,11509,1048,309,3282,86,9292,9,3495,0,799,10728,0,0,962,627,339,10448,0,0,18605,1,1342,0,0,0,540,4,0
2023,4,San Luis,917,0,59,1,163,465,491,2772,1418,1,347,6288,3,2622,49,21080,0,5632,1836,0,0,1484,0,75773,136,0,35,7032,0,1500,0,0,0,566,24,23645
2023,4,Santa Cruz,33434,4,26,20,218,282,724,1259,2001,504,1272,2004,1,2360,4,8418,0,1342,4674,0,725,4817,31,1454,2150,516,3,9864,0,3993,0,587,1015,0,143,0
2023,4,Santa Fe,16426,32,335,101,5,6840,6339,24429,164,5409,19733,25797,5124,10561,1440,146894,0,748,21307,31,8,37467,39,8903,13336,41,2208,170473,295,202793,852,1621,9826,148409,10179,1175
2023,4,Santiago Del Estero,930,2,39,139,908,265,381,5389,0,1220,409,5312,352,114,0,53514,0,14787,322,0,0,9405,0,17,5777,0,41,4724,1,9197,0,0,0,8785,755,38
2023,4,Tierra Del Fuego,7879,0,11,11,318,516,2,3,3740,1886,422,4230,0,8034,4,4580,0,10583,8537,0,200,216,1280,4576,264,486,7,2718,66,375,0,28,1,624,0,0
2023,4,Tucumán,562,0,19,20,0,1089,116,5440,2271,448,1025,9550,146,145,1,22525,0,12926,2226,0,0,9324,514,84,984,12,2,77442,1,72631,0,0,3,42323,3219,100
2023,3,Buenos Aires,122762,19,27234,187,4611,20209,21278,50596,41735,13518,28937,85697,9476,64724,653,165472,10,24060,96176,266,1021,124171,110,48588,782500,1365,5343,473258,65468,828830,483,500206,8094,1075229,161518,81238
2023,3,Capital Federal,0,31,451,34,1307,3383,271,3040,11975,994,3564,8245,7,16651,3,34238,5,11,29266,5,0,4774,0,591,58484,9,122,60721,14892,366457,27,150936,3244,556665,98408,36320
2023,3,Catamarca,92,0,34,37,0,224,115,1760,0,0,331,988,0,0,0,3893,0,57,1969,0,0,2608,1210,47,867,0,0,34483,0,16632,0,0,42,7982,462,5
2023,3,Chaco,4089,0,234,2,0,462,780,3280,167,385,3772,5692,442,702,1,11729,0,137,3670,0,0,3088,0,771,2210,19,18,30090,0,42557,659,0,1115,23466,1957,126
2023,3,Chubut,16578,8,69,34,836,634,3198,5912,11441,5325,4373,14185,44,12934,27,17903,1,8285,13631,0,0,2445,7459,5560,7578,0,17,28355,0,1014,0,0,1,48,1,0
