año,trimestre,provincia,accesos_tv_por_suscripción_por_cada_100_hab,accesos_tv_por_suscripción_por_cada_100_hogares
2014,4,Buenos Aires,15,49
2014,4,Capital Federal,22,59
2014,4,Catamarca,7,28
2014,4,Chaco,8,30
2014,4,Chubut,12,40
2014,4,Córdoba,27,90
2014,4,Corrientes,8,32
2014,4,Entre Ríos,11,38
2014,4,Formosa,8,31
2014,4,Jujuy,11,43
2014,4,La Pampa,23,71
2014,4,La Rioja,7,27
2014,4,Mendoza,6,22
2014,4,Misiones,9,35
2014,4,Neuquén,25,85
2014,4,Río Negro,8,27
2014,4,Salta,12,52
2014,4,San Juan,5,23
2014,4,San Luis,11,41
2014,4,Santa Cruz,14,47
2014,4,Santa Fe,19,61
2014,4,Santiago del Estero,10,43
2014,4,Tierra del Fuego,23,79
2014,4,Tucumán,7,30
2014,3,Buenos Aires,15,49
2014,3,Capital Federal,22,59
2014,3,Catamarca,7,27
2014,3,Chaco,7,28
2014,3,Chubut,12,40
2014,3,Córdoba,27,90
2014,3,Corrientes,8,32
2014,3,Entre Ríos,11,38
2014,3,Formosa,8,31
2014,3,Jujuy,10,40
2014,3,La Pampa,22,69
2014,3,La Rioja,6,25
2014,3,Mendoza,6,22
2014,3,Misiones,9,36
2014,3,Neuquén,25,85
2014,3,Río Negro,8,27
2014,3,Salta,12,52
2014,3,San Juan,5,22
2014,3,San Luis,11,40
2014,3,Santa Cruz,14,47
2014,3,Santa Fe,19,61
2014,3,Santiago del Estero,10,42
2014,3,Tierra del Fuego,23,79
2014,3,Tucumán,7,30
2014,2,Buenos Aires,15,49
2014,2,Capital Federal,22,59
2014,2,Catamarca,6,27
2014,2,Chaco,7,28
2014,2,Chubut,12,40
2014,2,Córdoba,27,90
2014,2,Corrientes,8,31
2014,2,Entre Ríos,11,37
2014,2,Formosa,8,31
2014,2,Jujuy,10,39
2014,2,La Pampa,22,68
2014,2,La Rioja,6,26
2014,2,Mendoza,6,22
2014,2,Misiones,9,35
2014,2,Neuquén,25,85
2014,2,Río Negro,8,27
2014,2,Salta,12,52
2014,2,San Juan,5,22
2014,2,San Luis,11,41
2014,2,Santa Cruz,14,50
2014,2,Santa Fe,19,61
2014,2,Santiago del Estero,10,42
2014,2,Tierra del Fuego,23,79
2014,2,Tucumán,7,30
2014,1,Buenos Aires,14,47
2014,1,Capital Federal,22,59
2014,1,Catamarca,4,18
2014,1,Chaco,7,29
2014,1,Chubut,12,40
2014,1,Córdoba,14,47
2014,1,Corrientes,5,21
2014,1,Entre Ríos,8,27
2014,1,Formosa,5,20
2014,1,Jujuy,8,35
2014,1,La Pampa,19,60
2014,1,La Rioja,6,26
2014,1,Mendoza,5,20
2014,1,Misiones,8,31
2014,1,Neuquén,17,58
2014,1,Río Negro,5,18
2014,1,Salta,9,38
2014,1,San Juan,5,22
2014,1,San Luis,3,12
2014,1,Santa Cruz,6,22
2014,1,Santa Fe,16,51
2014,1,Santiago del Estero,10,40
2014,1,Tierra del Fuego,20,68
2014,1,Tucumán,7,28
