año,trimestre,provincia,accesos_tv_por_suscripción_por_cada_100_hab,accesos_tv_por_suscripción_por_cada_100_hogares
2022,2,La Pampa,21,64
2022,2,La Rioja,5,22
2022,2,Mendoza,6,22
2022,2,Misiones,11,40
2022,2,Neuquén,11,37
2022,2,Río Negro,14,45
2022,2,Salta,14,60
2022,2,San Juan,4,18
2022,2,San Luis,9,31
2022,2,Santa Cruz,10,36
2022,2,Santa Fe,20,66
2022,2,Santiago Del Estero,14,60
2022,2,Tierra Del Fuego,23,78
2022,2,Tucumán,7,30
2022,1,Buenos Aires,16,49
2022,1,Capital Federal,24,58
2022,1,Catamarca,11,43
2022,1,Chaco,9,36
2022,1,Chubut,12,39
2022,1,Córdoba,29,96
2022,1,Corrientes,11,43
2022,1,Entre Ríos,16,54
2022,1,Formosa,10,43
2022,1,Jujuy,14,54
2022,1,La Pampa,21,65
2022,1,La Rioja,5,22
2022,1,Mendoza,5,21
2022,1,Misiones,10,39
2022,1,Neuquén,11,37
2022,1,Río Negro,14,45
2022,1,Salta,14,61
2022,1,San Juan,4,17
2022,1,San Luis,8,31
2022,1,Santa Cruz,10,36
2022,1,Santa Fe,20,66
2022,1,Santiago Del Estero,14,58
2022,1,Tierra Del Fuego,23,79
2022,1,Tucumán,6,27
2021,4,Buenos Aires,16,50
2021,4,Capital Federal,24,58
2021,4,Catamarca,10,42
2021,4,Chaco,9,35
2021,4,Chubut,12,39
2021,4,Córdoba,29,95
2021,4,Corrientes,10,39
2021,4,Entre Ríos,16,54
2021,4,Formosa,11,43
2021,4,Jujuy,13,54
2021,4,La Pampa,22,68
2021,4,La Rioja,6,24
2021,4,Mendoza,5,20
2021,4,Misiones,10,40
2021,4,Neuquén,11,38
2021,4,Río Negro,14,47
2021,4,Salta,14,58
2021,4,San Juan,4,16
2021,4,San Luis,8,31
2021,4,Santa Cruz,11,37
2021,4,Santa Fe,20,66
2021,4,Santiago Del Estero,19,77
2021,4,Tierra Del Fuego,23,79
2021,4,Tucumán,6,25
2021,3,Buenos Aires,16,50
2021,3,Capital Federal,24,58
2021,3,Catamarca,10,40
2021,3,Chaco,9,35
2021,3,Chubut,11,38
2021,3,Córdoba,29,94
2021,3,Corrientes,10,38
2021,3,Entre Ríos,17,58
2021,3,Formosa,10,42
2021,3,Jujuy,13,54
2021,3,La Pampa,22,67
2021,3,La Rioja,5,19
2021,3,Mendoza,5,20
2021,3,Misiones,10,40
2021,3,Neuquén,11,38
2021,3,Río Negro,14,48
2021,3,Salta,16,69
2021,3,San Juan,4,16
2021,3,San Luis,8,31
2021,3,Santa Cruz,11,37
2021,3,Santa Fe,23,73
2021,3,Santiago Del Estero,19,77
2021,3,Tierra Del Fuego,23,80
2021,3,Tucumán,6,26
2021,2,Buenos Aires,16,49
2021,2,Capital Federal,24,58
2021,2,Catamarca,10,40
2021,2,Chaco,9,36
2021,2,Chubut,11,38
2021,2,Córdoba,28,92
2021,2,Corrientes,9,37
2021,2,Entre Ríos,15,53
2021,2,Formosa,9,39
2021,2,Jujuy,13,53
2021,2,La Pampa,22,66
2021,2,La Rioja,5,19
2021,2,Mendoza,5,19
2021,2,Misiones,11,40
2021,2,Neuquén,11,39
2021,2,Río Negro,14,47
2021,2,Salta,13,56
2021,2,San Juan,4,16
2021,2,San Luis,8,31
2021,2,Santa Cruz,11,38
2021,2,Santa Fe,18,60
2021,2,Santiago Del Estero,16,66
2021,2,Tierra Del Fuego,23,80
2021,2,Tucumán,6,26
2021,1,Buenos Aires,16,49
2021,1,Capital Federal,24,58
2021,1,Catamarca,10,40
2021,1,Chaco,9,36
2021,1,Chubut,11,38
2021,1,Córdoba,28,93
2021,1,Corrientes,10,38
2021,1,Entre Ríos,15,53
2021,1,Formosa,9,39
2021,1,Jujuy,13,53
2021,1,La Pampa,22,67
2021,1,La Rioja,4,18
2021,1,Mendoza,5,18
2021,1,Misiones,10,39
2021,1,Neuquén,11,39
2021,1,Río Negro,14,47
2021,1,Salta,14,58
2021,1,San Juan,4,16
2021,1,San Luis,8,31
2021,1,Santa Cruz,11,39
2021,1,Santa Fe,19,61
2021,1,Santiago Del Estero,16,65
2021,1,Tierra Del Fuego,23,80
2021,1,Tucumán,6,26
2020,4,Buenos Aires,16,50
2020,4,Capital Federal,24,59
2020,4,Catamarca,10,39
2020,4,Chaco,9,36
2020,4,Chubut,11,38
2020,4,Córdoba,28,92
2020,4,Corrientes,9,37
2020,4,Entre Ríos,15,52
2020,4,Formosa,9,38
2020,4,Jujuy,14,55
2020,4,La Pampa,22,67
2020,4,La Rioja,5,22
2020,4,Mendoza,5,19
2020,4,Misiones,10,40
2020,4,Neuquén,11,40
2020,4,Río Negro,14,48
2020,4,Salta,14,58
2020,4,San Juan,4,16
2020,4,San Luis,8,31
